指标名称,库存量:商业原油:全美:环比增加:同比增加,OPEC:一揽子原油价格:周:平均值:结束日5
1989-02-10,-3987,
1989-02-17,-7642,
1989-02-24,-3995,
1989-03-03,8569,
1989-03-10,-1123,
1989-03-17,783,
1989-03-24,1123,
1989-03-31,-11294,
1989-04-07,-6444,
1989-04-14,-4018,
1989-04-21,5611,
1989-04-28,7124,
1989-05-05,5179,
1989-05-12,-1363,
1989-05-19,-8404,
1989-05-26,2344,
1989-06-02,2587,
1989-06-09,-597,
1989-06-16,-6615,
1989-06-23,6244,
1989-06-30,-7755,
1989-07-07,2821,
1989-07-14,3199,
1989-07-21,2506,
1989-07-28,-356,
1989-08-04,1552,
1989-08-11,-673,
1989-08-18,13732,
1989-08-25,3601,
1989-09-01,4892,
1989-09-08,4139,
1989-09-15,-4314,
1989-09-22,5868,
1989-09-29,-3027,
1989-10-06,5859,
1989-10-13,529,
1989-10-20,-11408,
1989-10-27,3820,
1989-11-03,-7584,
1989-11-10,10978,
1989-11-17,-8322,
1989-11-24,759,
1989-12-01,10920,
1989-12-08,-13832,
1989-12-15,10212,
1989-12-22,1579,
1989-12-29,31,
1990-01-05,8020,
1990-01-12,6508,
1990-01-19,-5494,
1990-01-26,-2545,
1990-02-02,3068,
1990-02-09,3916,
1990-02-16,-3295,
1990-02-23,-3766,
1990-03-02,-6259,
1990-03-09,7535,
1990-03-16,-5978,
1990-03-23,9760,
1990-03-30,12980,
1990-04-06,8353,
1990-04-13,5344,
1990-04-20,-11952,
1990-04-27,119,
1990-05-04,-10494,
1990-05-11,2867,
1990-05-18,10281,
1990-05-25,2636,
1990-06-01,-1499,
1990-06-08,5114,
1990-06-15,1933,
1990-06-22,-2812,
1990-06-29,8287,
1990-07-06,-3344,
1990-07-13,6868,
1990-07-20,-1175,
1990-07-27,3311,
1990-08-03,-7267,
1990-08-10,-1808,
1990-08-17,-8636,
1990-08-24,2717,
1990-08-31,-5172,
1990-09-07,595,
1990-09-14,5207,
1990-09-21,-6880,
1990-09-28,-12406,
1990-10-05,-7386,
1990-10-12,-13045,
1990-10-19,4010,
1990-10-26,-3894,
1990-11-02,6046,
1990-11-09,-5912,
1990-11-16,-5569,
1990-11-23,630,
1990-11-30,-5673,
1990-12-07,3890,
1990-12-14,-6212,
1990-12-21,4484,
1990-12-28,-4992,
1991-01-04,-8320,22.26
1991-01-11,-2699,
1991-01-18,257,
1991-01-25,2042,
1991-02-01,-6899,
1991-02-08,6022,
1991-02-15,8366,
1991-02-22,3481,
1991-03-01,-3744,
1991-03-08,-7998,
1991-03-15,7821,
1991-03-22,-8362,
1991-03-29,1803,
1991-04-05,-12088,
1991-04-12,3581,
1991-04-19,-1526,
1991-04-26,1336,
1991-05-03,-4057,
1991-05-10,-4948,
1991-05-17,2196,
1991-05-24,-1298,
1991-05-31,3978,
1991-06-07,-1062,
1991-06-14,1284,
1991-06-21,-2081,
1991-06-28,-4057,
1991-07-05,4253,
1991-07-12,-5598,
1991-07-19,392,
1991-07-26,-8338,
1991-08-02,8434,
1991-08-09,6559,
1991-08-16,-2263,
1991-08-23,3680,
1991-08-30,7149,
1991-09-06,-12633,
1991-09-13,-920,
1991-09-20,5856,
1991-09-27,14534,
1991-10-04,1025,
1991-10-11,10852,
1991-10-18,300,
1991-10-25,7579,
1991-11-01,-10276,
1991-11-08,2171,
1991-11-15,10879,
1991-11-22,-2983,
1991-11-29,-8044,
1991-12-06,10439,
1991-12-13,-4780,
1991-12-20,-5990,
1991-12-27,-4008,
1992-01-03,14344,18.62
1992-01-10,2593,
1992-01-17,213,
1992-01-24,5679,
1992-01-31,-7522,
1992-02-07,-1396,
1992-02-14,-7726,
1992-02-21,4270,
1992-02-28,7242,
1992-03-06,7970,
1992-03-13,-11820,
1992-03-20,2658,
1992-03-27,-10257,
1992-04-03,1410,
1992-04-10,3957,
1992-04-17,5892,
1992-04-24,-4742,
1992-05-01,5533,
1992-05-08,-425,
1992-05-15,-4697,
1992-05-22,-4016,
1992-05-29,-9523,
1992-06-05,16,
1992-06-12,-3,
1992-06-19,-4923,
1992-06-26,-7851,
1992-07-03,-2197,
1992-07-10,3718,
1992-07-17,-4580,
1992-07-24,3743,
1992-07-31,5102,
1992-08-07,-3486,
1992-08-14,940,
1992-08-21,-700,
1992-08-28,-9354,
1992-09-04,11909,
1992-09-11,5884,
1992-09-18,705,
1992-09-25,-9441,
1992-10-02,3946,
1992-10-09,-4112,
1992-10-16,4704,
1992-10-23,-7796,
1992-10-30,9524,
1992-11-06,-10204,
1992-11-13,-12177,
1992-11-20,11564,
1992-11-27,7004,
1992-12-04,-6047,
1992-12-11,11610,
1992-12-18,3833,
1992-12-25,-1709,
1993-01-01,-5046,18.44
1993-01-08,-6123,
1993-01-15,9107,
1993-01-22,-6837,
1993-01-29,6418,
1993-02-05,3795,
1993-02-12,8498,
1993-02-19,-13497,
1993-02-26,862,
1993-03-05,-370,
1993-03-12,11052,
1993-03-19,-16713,
1993-03-26,13418,
1993-04-02,4270,
1993-04-09,3069,
1993-04-16,-12066,
1993-04-23,293,
1993-04-30,1243,
1993-05-07,1350,
1993-05-14,4157,
1993-05-21,7703,
1993-05-28,-1172,
1993-06-04,-2519,
1993-06-11,-8710,
1993-06-18,15554,
1993-06-25,17194,
1993-07-02,-7326,
1993-07-09,759,
1993-07-16,14531,
1993-07-23,-5501,
1993-07-30,-10208,
1993-08-06,2792,
1993-08-13,-3513,
1993-08-20,-9331,
1993-08-27,8808,
1993-09-03,-8432,
1993-09-10,2005,
1993-09-17,-1047,
1993-09-24,-4792,
1993-10-01,-4951,
1993-10-08,5037,
1993-10-15,-7118,
1993-10-22,6400,
1993-10-29,-1622,
1993-11-05,3044,
1993-11-12,12052,
1993-11-19,-11068,
1993-11-26,-154,
1993-12-03,6429,
1993-12-10,756,
1993-12-17,2729,
1993-12-24,11621,
1993-12-31,-7457,16.33
1994-01-07,-4317,
1994-01-14,-8125,
1994-01-21,-4312,
1994-01-28,1088,
1994-02-04,217,
1994-02-11,-11046,
1994-02-18,13350,
1994-02-25,-15065,
1994-03-04,1689,
1994-03-11,-10683,
1994-03-18,25085,
1994-03-25,-13029,
1994-04-01,-593,
1994-04-08,-11009,
1994-04-15,11191,
1994-04-22,-1017,
1994-04-29,-1787,
1994-05-06,-6383,
1994-05-13,-6390,
1994-05-20,-1460,
1994-05-27,2724,
1994-06-03,-2787,
1994-06-10,5105,
1994-06-17,-10820,
1994-06-24,-2811,
1994-07-01,9263,
1994-07-08,-3248,
1994-07-15,-4984,
1994-07-22,8784,
1994-07-29,-1435,
1994-08-05,-3540,
1994-08-12,7621,
1994-08-19,1890,
1994-08-26,-3800,
1994-09-02,6098,
1994-09-09,-1584,
1994-09-16,1666,
1994-09-23,15421,
1994-09-30,5364,
1994-10-07,-5190,
1994-10-14,9314,
1994-10-21,-9254,
1994-10-28,7551,
1994-11-04,2357,
1994-11-11,-5739,
1994-11-18,2534,
1994-11-25,-3865,
1994-12-02,-5424,
1994-12-09,-7816,
1994-12-16,-3065,
1994-12-23,854,
1994-12-30,-853,15.53
1995-01-06,8663,
1995-01-13,-1088,
1995-01-20,-936,
1995-01-27,-3371,
1995-02-03,-599,
1995-02-10,-1979,
1995-02-17,4335,
1995-02-24,1611,
1995-03-03,-4651,
1995-03-10,5561,
1995-03-17,-11364,
1995-03-24,9181,
1995-03-31,7685,
1995-04-07,-3318,
1995-04-14,-747,
1995-04-21,2944,
1995-04-28,-5017,
1995-05-05,3772,
1995-05-12,1761,
1995-05-19,-5803,
1995-05-26,-1925,
1995-06-02,2328,
1995-06-09,2256,
1995-06-16,1078,
1995-06-23,-10946,
1995-06-30,2783,
1995-07-07,-1349,
1995-07-14,-3199,
1995-07-21,-10140,
1995-07-28,8801,
1995-08-04,-4349,
1995-08-11,-610,
1995-08-18,-4553,
1995-08-25,5397,
1995-09-01,7606,
1995-09-08,-4340,
1995-09-15,-2362,
1995-09-22,-6445,
1995-09-29,-8326,
1995-10-06,-3452,
1995-10-13,-4465,
1995-10-20,4005,
1995-10-27,-7811,
1995-11-03,4279,
1995-11-10,-898,
1995-11-17,12587,
1995-11-24,8551,
1995-12-01,-3066,
1995-12-08,-2772,
1995-12-15,6517,
1995-12-22,-6543,
1995-12-29,-2836,16.86
1996-01-05,-682,
1996-01-12,4210,
1996-01-19,10692,
1996-01-26,-1464,
1996-02-02,-5637,
1996-02-09,4100,
1996-02-16,-10423,
1996-02-23,5914,
1996-03-01,-6241,
1996-03-08,7740,
1996-03-15,-5808,
1996-03-22,-5267,
1996-03-29,-9824,
1996-04-05,5103,
1996-04-12,215,
1996-04-19,-7051,
1996-04-26,3737,
1996-05-03,9101,
1996-05-10,-2525,
1996-05-17,-303,
1996-05-24,4147,
1996-05-31,14093,
1996-06-07,-1099,
1996-06-14,-2521,
1996-06-21,8323,
1996-06-28,3127,
1996-07-05,2835,
1996-07-12,-2510,
1996-07-19,3045,
1996-07-26,-1834,
1996-08-02,4192,
1996-08-09,-3666,
1996-08-16,9270,
1996-08-23,6748,
1996-08-30,-12486,
1996-09-06,1514,
1996-09-13,-1080,
1996-09-20,1726,
1996-09-27,-58,
1996-10-04,4007,
1996-10-11,-3276,
1996-10-18,3565,
1996-10-25,-4583,
1996-11-01,6959,
1996-11-08,-3504,
1996-11-15,-12074,
1996-11-22,-10875,
1996-11-29,3339,
1996-12-06,3267,
1996-12-13,-8809,
1996-12-20,-246,
1996-12-27,12668,
1997-01-03,-9255,20.29
1997-01-10,2124,
1997-01-17,-5743,
1997-01-24,5117,
1997-01-31,8445,23.19
1997-02-07,5583,
1997-02-14,7545,
1997-02-21,-507,
1997-02-28,-2148,20.48
1997-03-07,-2895,
1997-03-14,5379,
1997-03-21,129,
1997-03-28,8409,
1997-04-04,-2102,18.64
1997-04-11,1225,
1997-04-18,5479,
1997-04-25,3196,
1997-05-02,-7236,17.46
1997-05-09,8097,
1997-05-16,-983,
1997-05-23,2086,
1997-05-30,-7735,18.76
1997-06-06,1236,
1997-06-13,1754,
1997-06-20,-1319,
1997-06-27,-12580,17.37
1997-07-04,3159,
1997-07-11,68,
1997-07-18,1853,
1997-07-25,-11005,
1997-08-01,1913,17.86
1997-08-08,6299,
1997-08-15,-1256,
1997-08-22,-14955,
1997-08-29,3463,18.06
1997-09-05,-3010,
1997-09-12,5781,
1997-09-19,-5059,
1997-09-26,6431,
1997-10-03,5164,18.16
1997-10-10,1129,
1997-10-17,-9039,
1997-10-24,7664,
1997-10-31,-4231,19.54
1997-11-07,3821,
1997-11-14,7751,
1997-11-21,8570,
1997-11-28,2593,18.84
1997-12-05,-3765,
1997-12-12,5487,
1997-12-19,2134,
1997-12-26,-5694,
1998-01-02,1757,16.84
1998-01-09,-6131,
1998-01-16,12677,
1998-01-23,2314,14.42
1998-01-30,-6657,
1998-02-06,-3327,
1998-02-13,-2783,
1998-02-20,3047,
1998-02-27,3824,13.45
1998-03-06,-6105,
1998-03-13,-2167,
1998-03-20,7557,
1998-03-27,-4752,
1998-04-03,1171,12.41
1998-04-10,2706,
1998-04-17,3557,
1998-04-24,-2523,
1998-05-01,2215,12.76
1998-05-08,-7058,
1998-05-15,16658,
1998-05-22,-6460,
1998-05-29,-8490,13.14
1998-06-05,-444,
1998-06-12,-1442,
1998-06-19,-1191,
1998-06-26,7388,
1998-07-03,-7605,11.67
1998-07-10,-4173,
1998-07-17,7526,
1998-07-24,13719,
1998-07-31,1447,12.06
1998-08-07,-4193,
1998-08-14,-1160,
1998-08-21,-1621,
1998-08-28,1284,
1998-09-04,-2539,11.89
1998-09-11,-6176,
1998-09-18,-5456,
1998-09-25,1779,
1998-10-02,-2327,12.91
1998-10-09,8961,
1998-10-16,6843,
1998-10-23,-868,
1998-10-30,-2244,12.41
1998-11-06,502,
1998-11-13,-7821,
1998-11-20,1383,
1998-11-27,-8388,
1998-12-04,3237,11.19
1998-12-11,879,
1998-12-18,5449,
1998-12-25,594,
1999-01-01,-8512,9.69
1999-01-08,3619,
1999-01-15,-8505,
1999-01-22,-2513,
1999-01-29,3204,10.71
1999-02-05,379,
1999-02-12,-3440,9.96
1999-02-19,155,
1999-02-26,-1558,
1999-03-05,3767,
1999-03-12,5720,
1999-03-19,-3662,
1999-03-26,2209,
1999-04-02,-3140,12.27
1999-04-09,-3213,
1999-04-16,-8163,
1999-04-23,-3746,
1999-04-30,-4300,15
1999-05-07,-1943,
1999-05-14,-10670,
1999-05-21,923,
1999-05-28,3241,
1999-06-04,2996,15.48
1999-06-11,4512,
1999-06-18,-1069,
1999-06-25,-3385,
1999-07-02,2591,15.61
1999-07-09,10320,
1999-07-16,-5167,
1999-07-23,-9005,
1999-07-30,-4083,18.28
1999-08-06,-3212,
1999-08-13,-1097,
1999-08-20,2350,
1999-08-27,880,
1999-09-03,4196,19.66
1999-09-10,-1900,
1999-09-17,9528,
1999-09-24,-7354,
1999-10-01,-2927,22.17
1999-10-08,-13998,
1999-10-15,-122,
1999-10-22,-3468,
1999-10-29,-54,21.67
1999-11-05,1163,
1999-11-12,4335,
1999-11-19,-8220,
1999-11-26,1214,
1999-12-03,1246,23.75
1999-12-10,-9005,
1999-12-17,-2311,
1999-12-24,2357,
1999-12-31,13259,24.77
2000-01-07,383,
2000-01-14,-2792,
2000-01-21,-5605,
2000-01-28,-11000,24.58
2000-02-04,2967,
2000-02-11,1552,
2000-02-18,-3347,
2000-02-25,3486,
2000-03-03,1694,26.84
2000-03-10,-3232,
2000-03-17,-1168,
2000-03-24,-3953,
2000-03-31,3273,26.71
2000-04-07,730,
2000-04-14,8650,
2000-04-21,8513,
2000-04-28,-1123,22.93
2000-05-05,7142,
2000-05-12,-303,
2000-05-19,3272,
2000-05-26,-3554,
2000-06-02,-6266,26.94
2000-06-09,-3250,
2000-06-16,-1838,
2000-06-23,2051,
2000-06-30,-1599,29.12
2000-07-07,-2414,
2000-07-14,-859,
2000-07-21,5450,
2000-07-28,-7153,
2000-08-04,3805,27.94
2000-08-11,5033,
2000-08-18,367,
2000-08-25,1485,
2000-09-01,7184,28.3
2000-09-08,3355,
2000-09-15,-2671,
2000-09-22,3756,
2000-09-29,1559,31.48
2000-10-06,8088,
2000-10-13,-7940,
2000-10-20,2136,
2000-10-27,-5210,
2000-11-03,-1913,30.42
2000-11-10,-303,
2000-11-17,9227,
2000-11-24,4276,
2000-12-01,2293,31.22
2000-12-08,2217,
2000-12-15,3864,
2000-12-22,-950,
2000-12-29,-118,24.13
2001-01-05,-3622,
2001-01-12,-925,
2001-01-19,1322,24.06
2001-01-26,4848,
2001-02-02,-452,
2001-02-09,3550,
2001-02-16,-11571,
2001-02-23,2550,
2001-03-02,-7398,25.41
2001-03-09,7540,
2001-03-16,3363,
2001-03-23,11338,
2001-03-30,183,23.7
2001-04-06,964,
2001-04-13,717,
2001-04-20,-6495,
2001-04-27,9589,
2001-05-04,-3918,24.38
2001-05-11,2226,
2001-05-18,2393,
2001-05-25,2859,
2001-06-01,5632,26.25
2001-06-08,-6768,
2001-06-15,3833,
2001-06-22,-335,
2001-06-29,-2959,26.1
2001-07-06,-4382,
2001-07-13,7506,
2001-07-20,1106,
2001-07-27,9503,
2001-08-03,-8197,23.73
2001-08-10,-6250,
2001-08-17,155,
2001-08-24,650,
2001-08-31,-4697,24.46
2001-09-07,1888,
2001-09-14,1856,
2001-09-21,3687,
2001-09-28,520,24.29
2001-10-05,-1007,
2001-10-12,77,
2001-10-19,418,
2001-10-26,3945,
2001-11-02,5571,19.64
2001-11-09,-1764,
2001-11-16,-7384,
2001-11-23,-3102,
2001-11-30,2237,17.65
2001-12-07,1032,
2001-12-14,-2672,
2001-12-21,3864,
2001-12-28,-333,
2002-01-04,1498,17.53
2002-01-11,2038,
2002-01-18,3859,
2002-01-25,5676,
2002-02-01,-708,18.33
2002-02-08,-863,
2002-02-15,8772,
2002-02-22,-5347,
2002-03-01,7046,18.89
2002-03-08,-7638,
2002-03-15,-2394,
2002-03-22,-15632,
2002-03-29,4340,22.64
2002-04-05,-3548,
2002-04-12,-11876,
2002-04-19,3011,
2002-04-26,-1753,
2002-05-03,-6294,24.88
2002-05-10,-6663,
2002-05-17,1288,
2002-05-24,206,
2002-05-31,4530,24.76
2002-06-07,7022,
2002-06-14,245,
2002-06-21,-3431,
2002-06-28,6326,23.8
2002-07-05,-1297,
2002-07-12,-9001,
2002-07-19,-5062,
2002-07-26,-927,
2002-08-02,4579,25.13
2002-08-09,-4355,
2002-08-16,6856,
2002-08-23,-2433,
2002-08-30,-2674,25.99
2002-09-06,-6013,
2002-09-13,-4778,
2002-09-20,-5778,
2002-09-27,-11594,27.38
2002-10-04,-4520,
2002-10-11,13415,
2002-10-18,3954,
2002-10-25,-1542,
2002-11-01,-532,27.32
2002-11-08,-6623,
2002-11-15,5675,
2002-11-22,-719,
2002-11-29,-1179,24.29
2002-12-06,3760,
2002-12-13,-2422,
2002-12-20,-1898,
2002-12-27,-6956,
2003-01-03,-380,29.75666667
2003-01-10,-7457,29.724
2003-01-17,-1164,30.516
2003-01-24,-2614,30.748
2003-01-31,-1264,30.316
2003-02-07,-6822,30.562
2003-02-14,6166,31.654
2003-02-21,1434,31.804
2003-02-28,-2637,32.56
2003-03-07,-4621,32.266
2003-03-14,-2136,32.358
2003-03-21,8149,27.186
2003-03-28,708,26.394
2003-04-04,-3761,26.232
2003-04-11,5797,25.238
2003-04-18,7385,25.7175
2003-04-25,-2750,25.278
2003-05-02,5226,23.664
2003-05-09,1464,24.276
2003-05-16,-3966,25.862
2003-05-23,2563,26.53
2003-05-30,-3168,26.564
2003-06-06,-3509,26.996
2003-06-13,4467,27.416
2003-06-20,-706,26.126
2003-06-27,-3689,26.51
2003-07-04,4261,27.28
2003-07-11,-1650,27.484
2003-07-18,1343,28.006
2003-07-25,3071,27.352
2003-08-01,5218,27.448
2003-08-08,7385,28.926
2003-08-15,-4439,28.608
2003-08-22,-448,28.436
2003-08-29,6389,28.904
2003-09-05,583,27.208
2003-09-12,8553,26.358
2003-09-19,4082,25.252
2003-09-26,9935,25.606
2003-10-03,9495,27.146
2003-10-10,-5178,28.554
2003-10-17,-8572,29.564
2003-10-24,2726,28.258
2003-10-31,-3433,27.524
2003-11-07,5951,27.518
2003-11-14,-1545,28.808
2003-11-21,-990,29.352
2003-11-28,-7905,28.252
2003-12-05,-6868,28.548
2003-12-12,-3063,29.632
2003-12-19,930,30.454
2003-12-26,5349,29.55333333
2004-01-02,-2274,29.635
2004-01-09,1445,30.34
2004-01-16,-373,30.642
2004-01-23,-1008,30.786
2004-01-30,6978,29.462
2004-02-06,1268,28.64
2004-02-13,1842,28.934
2004-02-20,1034,30.186
2004-02-27,303,30.754
2004-03-05,7925,32.184
2004-03-12,1108,32.09
2004-03-19,3827,32.776
2004-03-26,-1035,32.328
2004-04-02,2077,31.058
2004-04-09,3016,30.9525
2004-04-16,-8763,32.602
2004-04-23,1357,32.514
2004-04-30,545,33.436
2004-05-07,3651,35.228
2004-05-14,-1760,36.466
2004-05-21,-1002,37.122
2004-05-28,-85,36.686
2004-06-04,5406,36.282
2004-06-11,-3132,34.436
2004-06-18,6560,34.37
2004-06-25,1612,34.26
2004-07-02,234,33.4
2004-07-09,1458,35.578
2004-07-16,-1234,36.028
2004-07-23,78,36.62
2004-07-30,-4953,37.774
2004-08-06,-4317,39.376
2004-08-13,375,40.442
2004-08-20,-1516,42.256
2004-08-27,-5993,40.444
2004-09-03,2939,38.848
2004-09-10,-10161,38.508
2004-09-17,-10602,38.866
2004-09-24,3448,41.448
2004-10-01,-3966,43.25
2004-10-08,406,44.322
2004-10-15,2993,45.828
2004-10-22,304,45.89
2004-10-29,6223,44.654
2004-11-05,2642,41.164
2004-11-12,-2095,37.71
2004-11-19,4974,36.254
2004-11-26,5678,38.842
2004-12-03,5986,37.442
2004-12-10,4998,34.218
2004-12-17,479,35.978
2004-12-24,2918,37.46
2004-12-31,-1364,35.654
2005-01-07,2602,37.404
2005-01-14,2189,40.452
2005-01-21,4945,41.522
2005-01-28,-8246,42.632
2005-02-04,1643,40.754
2005-02-11,-2758,40.326
2005-02-18,608,42.078
2005-02-25,395,44.57
2005-03-04,-662,47.234
2005-03-11,1013,49.126
2005-03-18,-3435,50.802
2005-03-25,-315,50.5
2005-04-01,4223,49.8
2005-04-08,506,51.818
2005-04-15,-1981,48.198
2005-04-22,2236,48.622
2005-04-29,2585,48.976
2005-05-06,1507,47.614
2005-05-13,5439,46.956
2005-05-20,-1712,45.22
2005-05-27,-1291,46.446
2005-06-03,-3710,49.094
2005-06-10,-2635,50.684
2005-06-17,-3994,51.38
2005-06-24,1608,52.81
2005-07-01,-3659,53.034
2005-07-08,-1727,54.374
2005-07-15,2673,53.592
2005-07-22,-3417,51.894
2005-07-29,2011,52.99
2005-08-05,6891,55.208
2005-08-12,1452,57.548
2005-08-19,3552,57.938
2005-08-26,2712,58.932
2005-09-02,-4895,60.778
2005-09-09,452,58.352
2005-09-16,8790,56.596
2005-09-23,-5813,58.35
2005-09-30,-1127,57.692
2005-10-07,-3277,55.688
2005-10-14,4357,54.676
2005-10-21,470,53.722
2005-10-28,-3538,53.57
2005-11-04,2706,53.296
2005-11-11,-2974,51.784
2005-11-18,269,49.954
2005-11-25,-5037,50.642
2005-12-02,2246,50.418
2005-12-09,1018,53.068
2005-12-16,-824,54.05
2005-12-23,977,51.586
2005-12-30,2206,52.31
2006-01-06,-561,56.3425
