指标名称,M2,美国:M2,欧元区:M2,日本:货币供应量:平均余额:M2
1980-03,,"1,497.20","1,090,055.00",
1980-02,,"1,486.30","1,080,016.00",
1980-01,,"1,486.20","1,080,273.00",
1979-12,,"1,479.00",,
1979-11,,"1,466.40",,
1979-10,,"1,463.60",,
1979-09,,"1,454.50",,
1979-08,,"1,444.30",,
1979-07,,"1,439.30",,
1979-06,,"1,422.50",,
1979-05,,"1,402.70",,
1979-04,,"1,408.40",,
1979-03,,"1,384.00",,
1979-02,,"1,369.30",,
1979-01,,"1,375.20",,
1978-12,,"1,370.80",,
1978-11,,"1,358.10",,
1978-10,,"1,355.30",,
1978-09,,"1,344.70",,
1978-08,,"1,331.40",,
1978-07,,"1,330.10",,
1978-06,,"1,319.00",,
1978-05,,"1,304.80",,
1978-04,,"1,307.40",,
1978-03,,"1,288.20",,
1978-02,,"1,276.80",,
1978-01,,"1,282.30",,
1977-12,,"1,273.00",,
1977-11,,"1,260.20",,
1977-10,,"1,255.90",,
1977-09,,"1,244.70",,
1977-08,,"1,235.30",,
1977-07,,"1,232.90",,
1977-06,,"1,219.80",,
1977-05,,"1,205.50",,
1977-04,,"1,206.60",,
1977-03,,"1,185.30",,
1977-02,,"1,169.90",,
1977-01,,"1,167.50",,
1976-12,,"1,153.50",,
1976-11,,"1,135.00",,
1976-10,,"1,125.10",,
1976-09,,"1,108.40",,
1976-08,,"1,097.30",,
1976-07,,"1,091.60",,
1976-06,,"1,080.80",,
1976-05,,"1,070.30",,
1976-04,,"1,066.90",,
1976-03,,"1,047.70",,
1976-02,,"1,034.20",,
1976-01,,"1,028.30",,
1975-12,,"1,017.80",,
1975-11,,"1,004.80",,
1975-10,,995.60,,
1975-09,,988.40,,
1975-08,,982.40,,
1975-07,,979.70,,
1975-06,,966.90,,
1975-05,,946.20,,
1975-04,,941.10,,
1975-03,,924.40,,
1975-02,,908.70,,
1975-01,,908.00,,
1974-12,,903.50,,
1974-11,,895.40,,
1974-10,,890.40,,
1974-09,,884.70,,
1974-08,,882.90,,
1974-07,,886.00,,
1974-06,,881.90,,
1974-05,,873.40,,
1974-04,,878.60,,
1974-03,,869.90,,
1974-02,,859.80,,
1974-01,,861.50,,
1973-12,,856.50,,
1973-11,,845.30,,
1973-10,,839.30,,
1973-09,,836.00,,
1973-08,,837.40,,
1973-07,,840.70,,
1973-06,,837.20,,
1973-05,,825.80,,
1973-04,,825.40,,
1973-03,,815.60,,
1973-02,,810.10,,
1973-01,,812.30,,
1972-12,,803.10,,
1972-11,,790.20,,
1972-10,,783.60,,
1972-09,,775.20,,
1972-08,,767.00,,
1972-07,,763.00,,
1972-06,,753.20,,
1972-05,,742.60,,
1972-04,,743.80,,
1972-03,,733.70,,
1972-02,,722.20,,
1972-01,,720.00,,
1971-12,,711.20,,
1971-11,,701.20,,
1971-10,,695.60,,
1971-09,,689.70,,
1971-08,,683.70,,
1971-07,,682.30,,
1971-06,,675.90,,
1971-05,,666.10,,
1971-04,,663.50,,
1971-03,,650.00,,
1971-02,,638.00,,
1971-01,,635.50,,
1970-12,,627.80,,
1970-11,,618.20,,
1970-10,,614.00,,
1970-09,,608.70,,
1970-08,,603.00,,
1970-07,,601.20,,
1970-06,,597.50,,
1970-05,,590.80,,
1970-04,,592.90,,
1970-03,,587.30,,
1970-02,,583.40,,
1970-01,,592.00,,
1969-12,,590.10,,
1969-11,,584.80,,
1969-10,,583.70,,
1969-09,,581.30,,
1969-08,,578.40,,
1969-07,,580.60,,
1969-06,,578.70,,
1969-05,,573.50,,
1969-04,,577.40,,
1969-03,,572.80,,
1969-02,,569.10,,
1969-01,,573.50,,
1968-12,,569.70,,
1968-11,,562.50,,
1968-10,,558.50,,
1968-09,,553.10,,
1968-08,,547.60,,
1968-07,,546.20,,
1968-06,,542.20,,
1968-05,,535.40,,
1968-04,,536.90,,
1968-03,,531.60,,
1968-02,,528.10,,
1968-01,,531.90,,
1967-12,,528.00,,
1967-11,,521.60,,
1967-10,,519.30,,
1967-09,,514.20,,
1967-08,,508.60,,
1967-07,,506.20,,
1967-06,,500.90,,
1967-05,,493.30,,
1967-04,,492.90,,
1967-03,,488.10,,
1967-02,,483.60,,
1967-01,,486.40,,
1966-12,,483.70,,
1966-11,,478.10,,
1966-10,,476.90,,
1966-09,,474.60,,
1966-08,,470.10,,
1966-07,,470.30,,
1966-06,,469.60,,
1966-05,,466.20,,
1966-04,,470.10,,
1966-03,,465.90,,
1966-02,,463.70,,
1966-01,,467.10,,
1965-12,,463.10,,
1965-11,,456.70,,
1965-10,,453.60,,
1965-09,,448.40,,
1965-08,,443.30,,
1965-07,,442.10,,
1965-06,,438.40,,
1965-05,,433.70,,
1965-04,,436.20,,
1965-03,,432.20,,
1965-02,,430.10,,
1965-01,,432.30,,
1964-12,,428.30,,
1964-11,,422.90,,
1964-10,,419.90,,
1964-09,,415.70,,
1964-08,,411.10,,
1964-07,,409.30,,
1964-06,,405.30,,
1964-05,,401.30,,
1964-04,,402.40,,
1964-03,,398.90,,
1964-02,,397.60,,
1964-01,,399.50,,
1963-12,,396.40,,
1963-11,,392.30,,
1963-10,,388.80,,
1963-09,,384.90,,
1963-08,,381.50,,
1963-07,,380.20,,
1963-06,,376.70,,
1963-05,,373.40,,
1963-04,,373.80,,
1963-03,,369.80,,
1963-02,,368.00,,
1963-01,,369.10,,
1962-12,,365.80,,
1962-11,,360.50,,
1962-10,,357.50,,
1962-09,,353.90,,
1962-08,,350.90,,
1962-07,,350.10,,
1962-06,,347.70,,
1962-05,,345.00,,
1962-04,,346.00,,
1962-03,,342.10,,
1962-02,,340.30,,
1962-01,,341.10,,
1961-12,,338.50,,
1961-11,,334.10,,
1961-10,,331.50,,
1961-09,,328.80,,
1961-08,,325.80,,
1961-07,,324.90,,
1961-06,,322.70,,
1961-05,,320.00,,
1961-04,,320.20,,
1961-03,,317.20,,
1961-02,,316.60,,
1961-01,,317.50,,
1960-12,,315.30,,
1960-11,,311.70,,
1960-10,,309.90,,
1960-09,,307.80,,
1960-08,,305.20,,
1960-07,,303.50,,
1960-06,,300.90,,
1960-05,,298.90,,
1960-04,,300.30,,
1960-03,,298.20,,
1960-02,,298.50,,
1960-01,,301.50,,
1959-12,,300.60,,
1959-11,,297.80,,
1959-10,,296.90,,
1959-09,,296.10,,
1959-08,,294.80,,
1959-07,,294.40,,
1959-06,,292.50,,
1959-05,,290.20,,
1959-04,,290.20,,
1959-03,,287.90,,
1959-02,,287.70,,
1959-01,,289.80,,
,,,,
数据来源：Wind,,,,
